Timestamp;Tanggal;Pesawat;Status;Jumlah Penumpang;Jumlah Cargo;Load Factor; Harga Tiket Tertinggi (Departure);Nama Petugas Posko;Status 2;Destination ( From - To);Kode Penerbangan; Harga Tiket Terendah (Departure)
4/9/2025 11:50:36;09/04/2025;Smart Aviation;Departure;6;0;50; Rp-   ;ABDUL FATAH;Perintis;LPU-AAP;PK-SNG; Rp737.320 
3/22/2025 13:53:17;22 March 2025;Smart Aviation;Departure;9;0;67;;ADITYA FATURRACHIM;Berjadwal;AAP-LPU;PK-SNV;
3/30/2025 8:01:41;30 March 2025;Batik Air;Arrival;32;3048;20; Rp1.840.700 ;AGAM, NALDA;Berjadwal;CGK-AAP;ID6672; Rp-   
3/30/2025 8:11:22;30 March 2025;Super Air Jet;Arrival;102;687;56; Rp-   ;AGAM, NALDA;Berjadwal;SUB-AAP;IU640; Rp-   
3/30/2025 9:04:09;30 March 2025;Batik Air;Departure;151;245;96; Rp1.840.700 ;AGAM, NALDA;Berjadwal;AAP-CGK;ID6673; Rp-   
3/30/2025 9:31:26;30 March 2025;Super Air Jet;Departure;190;2;99; Rp1.379.180 ;AGAM, NALDA;Berjadwal;AAP-YIA;IU659; Rp-   
3/30/2025 9:32:39;30 March 2025;Citilink;Arrival;79;594;43; Rp-   ;AGAM, NALDA;Berjadwal;SUB-AAP;QG460; Rp-   
3/30/2025 11:03:11;30 March 2025;Citilink;Departure;183;36;99; Rp1.518.515 ;AGAM, NALDA;Berjadwal;AAP-SUB;QG461; Rp-   
3/30/2025 12:04:04;30 March 2025;Wing air;Arrival;72;1;95; Rp-   ;AGAM, NALDA;Berjadwal;BEJ-AAP;IW1485; Rp-   
3/30/2025 12:05:14;30 March 2025;Super Air Jet;Arrival;154;230;83; Rp-   ;AGAM, NALDA;Tidak Berjadwal;SUB-AAP;IU642; Rp-   
3/21/2025 13:12:46;21 March 2025;Citilink;Arrival;127;3686;56;;Agoes;Berjadwal;CGK-AAP;QG422;
3/21/2025 13:22:20;21 March 2025;Super Air Jet;Arrival;180;1445;99;;Agoes;Berjadwal;SUB-AAP;IU642;
3/21/2025 14:14:54;21 March 2025;Batik Air;Departure;182;0;97;;Agoes;Berjadwal;CGK-AAP;ID6257;
3/21/2025 15:37:52;21 March 2025;Indonesia Army;Arrival;34;0;283;;Agoes;Tidak Berjadwal;CGK-AAP;A-7307;
3/21/2025 13:16:34;21 March 2025;Smart Aviation;Arrival;11;0;100;;Ahmad;Berjadwal;DTD-AAP;PK SNT;
3/21/2025 13:20:03;21 March 2025;Wing air;Departure;68;11;94;;Ahmad;Berjadwal;AAP-BEJ;IW1484;
3/21/2025 13:52:19;21 March 2025;Super Air Jet;Departure;184;179;100;;Ahmad;Berjadwal;AAP-CGK;IU641;
3/21/2025 15:24:53;21 March 2025;Super Air Jet;Departure;153;227;92;;Ahmad;Berjadwal;AAP-CGK;IU643;
3/21/2025 15:40:49;21 March 2025;Indonesia Army;departure;34;0;92;;Ahmad;Berjadwal;DTD-AAP;PK-SNT;
3/24/2025 8:15:54;24 March 2025;Super Air Jet;Arrival;178;576;98; Rp1.518.600 ;AILSA;Berjadwal;SUB-AAP;IU640; Rp1.518.600 
3/24/2025 9:57:39;24 March 2025;Super Air Jet;Departure;181;5;100; Rp1.518.600 ;AILSA;Berjadwal;AAP-YIA;IU659; Rp1.584.500 
3/24/2025 11:02:38;24 March 2025;Batik Air;Arrival;83;2367;56; Rp2.110.700 ;AILSA;Berjadwal;CGK-AAP;ID6256; Rp1.733.300 
3/24/2025 11:56:22;24 March 2025;Wing air;Arrival;72;0;100; Rp1.418.700 ;AILSA;Berjadwal;BEJ-AAP;IW1485; Rp1.234.400 
3/30/2025 14:54:06;30 March 2002;Wing air;Departure;60;12;82; Rp1.067.100 ;ALEX;Berjadwal;AAP-BAJ;IW1484; Rp-   
3/26/2025 14:19:18;26 March 2025;Wing air;Departure;72;94;99%; Rp1.067.100 ;Alex;Berjadwal;AAP-BEJ;IW-1484;-
3/26/2025 14:44:21;26 March 2025;Citilink;Arrival;136;2551;75%; Rp1.799.345 ;ALEX;Berjadwal;CGK-AAP;QG422;-
3/26/2025 16:07:57;26 March 2025;Super Air Jet;Departure;185;163;100; Rp1.321.130 ;ALEX;Berjadwal;AAP-SUB;IU-641;-
