Timestamp,Tanggal,Pesawat ,Status,Jumlah Penumpang,Jumlah Cargo,Load Factor, Harga Tiket Tertinggi (Departure),Nama Petugas Posko,Remark,Destination ( From - To),Kode Penerbangan, Harga Tiket Terendah (Departure)
18/12/2024 8:00:09,18/12/2024,Batik Air,Arrival,123,2859,79, Rp 1.916.300 ,Musa Herry,Berjadwal,CGK-AAP,ID 6672,
18/12/2024 8:20:42,18/12/2024,Susi air,Departure,11,0,92, Rp 475.660 ,Parmen Leon Parhitean,Perintis,AAP-LPU,SI 8322,
18/12/2024 8:48:48,18/12/2024,Super Air Jet,Arrival,179,3156,99, Rp 1.584.500 ,Marcelina Kuling,Berjadwal,SUB-AAP,IU 640,
18/12/2024 8:55:05,18/12/2024,Batik Air,Departure,152,704,96, Rp 1.916.300 ,Musa Herry,Berjadwal,AAP-CGK,ID 6673,
18/12/2024 9:12:40,18/12/2024,Citilink,Arrival,141,2627,78, Rp 1.363.000 ,Parmen Leon Parhitean,Berjadwal,AAP-SUB,QG460,
18/12/2024 9:48:08,18/12/2024,Super Air Jet,Departure,183,394,99, Rp 1.584.500 ,Musa Herry,Berjadwal,AAP-SUB,IU 641,
18/12/2024 10:53:43,18/12/2024,Maf,Arrival,6,0,67, Rp -   ,Marcelina Kuling,Tidak Berjadwal,LNU-AAP,PK-MEE,
18/12/2024 11:16:47,18/12/2024,Citilink,Departure,182,195,100, Rp 1.363.000 ,Musa Herry,Berjadwal,AAP-SUB,QG 461,
18/12/2024 12:40:07,18/12/2024,Wing air,Arrival,73,1,99, Rp 1.400.900 ,Ulfah,Berjadwal,BEJ-AAP,IW1485,
18/12/2024 12:46:46,18/12/2024,Batik Air,Arrival,140,2338,90, Rp 1.993.500 ,Ibnu Miftakhul Azis,Berjadwal,CGK-AAP,ID 6256,
18/12/2024 14:45:08,18/12/2024,Batik Air,Departure,150,99,96, Rp 1.933.500 ,Ibnu Miftakhul Azis,Berjadwal,AAP - CGK,ID 6257,
18/12/2024 15:38:50,18/12/2024,Susi air,Arrival,12,0,100, Rp 475.660 ,Ibnu Miftakhul Azis,Perintis,LPU - AAP,SI 8323,
18/12/2024 15:39:44,18/12/2024,Susi air,Departure,10,0,83, Rp 350.240 ,Ulfah,Perintis,AAP - RTU,SI 8312,
18/12/2024 15:41:31,18/12/2024,Maf,Departure,0,0,0, Rp -   ,Ibnu Miftakhul Azis,Tidak Berjadwal,AAP - TRK,PK - MEE,
18/12/2024 15:42:50,18/12/2024,Wing air,Departure,73,48,100, Rp 1.409.000 ,Ulfah,Berjadwal,AAP - BEJ,IW 1484,
18/12/2024 16:06:22,18/12/2024,Super Air Jet,Arrival,174,1944,96, Rp 1.397.600 ,Ulfah,Berjadwal,SUB - AAP,IU 642,
18/12/2024 16:07:22,18/12/2024,Super Air Jet,Departure,190,1,104, Rp 1.397.600 ,Ibnu Miftakhul Azis,Berjadwal,AAP - SUB,IU 643,
18/12/2024 16:08:16,18/12/2024,Citilink,Arrival,147,2950,81, Rp 1.363.000 ,Ibnu Miftakhul Azis,Berjadwal,CGK - AAP,QG 422,
18/12/2024 16:09:03,18/12/2024,Citilink,Departure,179,230,99, Rp 1.363.000 ,Ibnu Miftakhul Azis,Berjadwal,AAP - CGK,QG 423,
18/12/2024 17:36:38,18/12/2024,Susi air,Arrival,12,0,100, Rp 350.240 ,Ulfah,Perintis,RTU - AAP,SI 8313,
